scenario,sim_id,league,league_calibrated,market,side,edge_pct,odd,prob_calibrated,units,bet_won,pl_units,home_score,away_score
D10,1395,Primera B Nacional,1,1x2,away,21.6,3.2,0.38,2,true,4.4,0,1
D10,1394,Primera B Nacional,1,over25,over,52.38,3.2,0.4762,2,false,-2,0,0
D10,1393,Ligat ha'Al,0,btts,nao,32.14,2.25,0.5873,0.5,false,-0.5,2,5
D10,1392,Ligat ha'Al,0,btts,nao,34.94,2.43,0.5553,0.5,false,-0.5,1,1
D10,1388,DFB Pokal,0,1x2,away,185,7.5,0.38,0.5,false,-0.5,3,0
D10,1383,Primera Division,1,over25,over,13.79,2.2,0.5172,2,true,2.4,3,0
D10,1173,Ligat ha'Al,0,btts,nao,33.04,2.43,0.5475,0.5,false,-0.5,1,1
D10,1172,Ligat ha'Al,0,btts,nao,32.37,2.25,0.5883,0.5,false,-0.5,2,5
D10,834,Primera B Nacional,1,over25,over,69.41,3.2,0.5294,2,false,-2,0,0
D10,833,Primera B Nacional,1,1x2,away,26.67,3.2,0.3958,2,true,4.4,0,1
D10,831,Primera B Nacional,1,btts,nao,12.06,1.5,0.7471,2,true,1,2,0
D10,825,DFB Pokal,0,1x2,away,196.88,7.5,0.3958,0.5,false,-0.5,3,0
D10,820,Primera Division,1,over25,over,21.83,2.2,0.5538,2,true,2.4,3,0
D10,1416,Primera Division,1,1x2,home,47.46,3.45,0.4274,2,false,-2,0,0
D10,856,Primera Division,1,,,,,,,skip,,0,0
D10,1404,Liga 1,0,btts,nao,24.43,1.97,0.6316,0.5,false,-0.5,1,1
D10,1174,Liga 1,0,btts,nao,24.98,1.97,0.6344,0.5,false,-0.5,1,1
D10,1437,Premier League,1,btts,nao,17.93,1.73,0.6817,2,true,1.46,0,3
D10,1436,Premier League,1,over25,under,11.47,1.52,0.7333,2,false,-2,2,2
D10,1435,Premier League,1,btts,nao,31.82,1.49,0.8847,2,true,0.98,3,0
D10,1434,Premier League,1,1x2,away,13.04,3.25,0.3478,2,false,-2,0,0
D10,1175,Premier League,1,btts,nao,17.22,1.73,0.6776,2,true,1.46,0,3
D10,1489,Liga Pro Serie B,0,1x2,home,15.4,2.7,0.4274,0.5,true,0.85,1,0
D10,1381,1. HNL,0,btts,nao,18.28,1.94,0.6097,0.5,true,0.47,0,0
D10,1170,1. HNL,0,btts,nao,17.64,1.94,0.6064,0.5,true,0.47,0,0
D10,922,Liga Pro Serie B,0,1x2,home,15.71,2.7,0.4286,0.5,true,0.85,1,0
D10,1403,Primera Division,1,1x2,home,54.85,1.83,0.8462,2,true,1.66,2,1
D10,841,Primera Division,1,1x2,home,38.49,1.83,0.7568,2,true,1.66,2,1
D10,1490,Segunda Division,0,1x2,away,37.5,2.75,0.5,0.5,true,0.875,0,1
D10,1453,Botola Pro,0,1x2,away,11.3,3.2,0.3478,0.5,true,1.1,1,2
D10,1433,Ykkösliiga,0,1x2,home,79.52,4.2,0.4274,0.5,false,-0.5,0,1
D10,1386,Super Liga,0,1x2,home,11.27,1.53,0.7273,0.5,true,0.265,3,0
D10,1385,Super Liga,0,btts,nao,12.08,1.82,0.6158,0.5,true,0.41,5,0
D10,1318,Serie A,1,btts,nao,58.76,2.55,0.6226,2,false,-2,3,3
D10,1147,Serie A,1,btts,nao,59.2,2.55,0.6243,2,false,-2,3,3
D10,923,Segunda Division,0,btts,nao,28.27,2.02,0.635,0.5,true,0.51,0,1
D10,873,Ykkösliiga,0,1x2,home,68,4.2,0.4,0.5,false,-0.5,0,1
D10,823,Super Liga,0,btts,nao,13.19,1.82,0.6219,0.5,true,0.41,5,0
D10,822,Super Liga,0,1x2,home,15.78,1.53,0.7568,0.5,true,0.265,3,0
D10,1389,1. SNL,0,over25,over,40,1.4,1,0.5,true,0.2,3,0
D10,1356,Ekstraklasa,0,over25,under,26.87,1.73,0.7333,0.5,true,0.365,1,1
D10,1355,Ekstraklasa,0,1x2,home,70.97,4,0.4274,0.5,true,1.5,3,2
D10,1354,Ekstraklasa,0,1x2,home,23.54,1.46,0.8462,0.5,true,0.23,6,2
D10,1353,Ekstraklasa,0,,,,,,,skip,,1,0
D10,1352,Ekstraklasa,0,1x2,away,63.27,10,0.1633,0.5,false,-0.5,2,2
